"Web ID","Region","Reported Date","Reported Year","Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Location Description","Information Source","Location Coordinates","Migration Route","URL","UNSD Geographical Grouping","Source Quality"
"54470","North Africa","December 06, 2020","2020","Dec","2","9","11","2","","","","Presumed drowning","Off the coast of Tan Tan, Morocco, last known position 28° 11', -12° 13'","Alarm Phone","28.513531584069, -11.457853000586","Western Africa / Atlantic route to the Canary Islands","https://archive.vn/MCn4U","Uncategorized","4"
"54527","US-Mexico Border","December 05, 2020","2020","Dec","1","","1","","","1","","Heart attack","McAllen, Texas, USA","Tu Nota","26.203407100000, -98.230012400000","","https://archive.ph/vzgYC","Northern America","1"
"54378","Caribbean","December 05, 2020","2020","Dec","8","13","21","9","2","6","","Drowning","Off the coast of Lagunas de Nisibon, La Altagracia province, Dominican Republic","24horas, Tu noticia PR","18.885884971235, -68.594448739648","Darien Gap","https://archive.vn/SgT0m, https://archive.vn/tGeBH","Uncategorized","3"
"54709","US-Mexico Border","December 05, 2020","2020","Dec","1","","1","","","1","","Presumed drowning","832 Dillon Rd, Elsa, Hidalgo County, Texas, USA","Hidalgo County Sheriff's Office","26.279276400000, -98.055147700000","","","Northern America","5"
"54376","Europe","December 04, 2020","2020","Dec","1","","1","2","","1","","Shot","At Ukraine-Russia border, close to Belgorod, Russia","Anadolu Agency","50.329658526064, 36.278285293359","","https://archive.vn/jGr44","Eastern Europe","1"
"54582","US-Mexico Border","December 04, 2020","2020","Dec","1","","1","","","","","Unknown","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","31.743067500000, -111.958713100000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54575","US-Mexico Border","December 04, 2020","2020","Dec","1","","1","","","1","","Blunt force injuries of the head","West Bound I-10 MP 289.4 (1/2 miles West of Marsh Station Road On and Off Ramp), Arizona, USA","Pima County Office of the Medical Examiner","30.527960000000, -99.852942300000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54375","South America","December 04, 2020","2020","Dec","1","","1","","","1","","Run over by truck","45A Highway, between Curití and San Gil, Santander, Colombia ","Vanguardia","6.587827714450, -73.095019426514","","https://archive.vn/LA7fD","South America","1"
"54581","US-Mexico Border","December 04, 2020","2020","Dec","1","","1","","","","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","31.730219100000, -111.308191100000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54606","US-Mexico Border","December 04, 2020","2020","Dec","1","","1","","","","","Unknown (skeletal remains)","Yuma County, Arizona, USA (see GPS coordinates for exact location)","Yuma County Medical Examiner","32.318528800000, -114.066757600000","","","Northern America","5"
"54580","US-Mexico Border","December 03, 2020","2020","Dec","1","","1","","","","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","32.057499000000, -111.666072500000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54365","Mediterranean","December 02, 2020","2020","Dec","2","","2","32","2","","","Drowning","Off the eastern coast of Lesvos, Greece","Hellenic Coast Guard via IOM Greece","39.358582342869, 26.395123681836","Eastern Mediterranean","","Uncategorized","5"
"54579","US-Mexico Border","December 02, 2020","2020","Dec","1","","1","","","","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","31.746643900000, -111.986180900000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54578","US-Mexico Border","December 01, 2020","2020","Dec","1","","1","","","","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","32.057499000000, -111.666072500000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54577","US-Mexico Border","December 01, 2020","2020","Dec","1","","1","","","","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","32.075456100000, -113.221194100000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54576","US-Mexico Border","December 01, 2020","2020","Dec","1","","1","","","","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","31.711633200000, -111.954908400000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54608","North Africa","December 01, 2020","2020","Dec","12","4","16","11","","","","Unknown (presumed dehydration, starvation)","Unspecified location - departure from Safi, Morocco en route to Canary Islands around 23.11","Alam Press, Al Hadet, Noon Presse, Plus 24, Badil, Al Aoual","31.446281366058, -11.105865409375","Western Africa / Atlantic route to the Canary Islands","https://archive.vn/3bivn, https://archive.vn/P18Lf, https://archive.vn/wip/VZnK3, https://archive.vn/k9JPk","Uncategorized","3"
